Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Calorie_Level
11,Male,160.8,62.9,24.35,Medium,High
8,Male,114.0,15.0,11.54,Low,Low
17,Female,153.5,65.5,27.81,Low,Medium
15,Male,148.9,48.6,21.9,High,High
12,Female,140.1,33.8,17.23,High,Medium
17,Female,158.1,59.4,23.75,Low,Medium
9,Female,112.4,15.0,11.88,Medium,Low
11,Female,164.9,64.2,23.62,High,High
14,Female,170.3,72.9,25.12,Medium,High
7,Male,129.1,30.7,18.41,Medium,Medium
11,Female,160.9,71.3,27.55,High,High
15,Male,167.6,88.3,31.46,High,High
15,Male,157.5,62.9,25.35,High,High
12,Female,128.0,37.4,22.85,Medium,Low
9,Female,116.9,37.3,27.27,Low,Low
8,Male,140.1,32.0,16.32,High,Medium
12,Male,132.4,33.5,19.09,Low,Low
12,Male,148.5,44.7,20.26,High,High
7,Female,135.3,42.1,22.97,Low,Low
10,Male,147.9,50.0,22.88,Medium,Medium
9,Female,129.0,22.4,13.49,Medium,Low
6,Female,131.6,31.6,18.28,Low,Low
12,Female,148.8,57.2,25.82,High,High
16,Male,181.1,70.7,21.55,Low,Medium
10,Female,134.6,28.2,15.58,High,Medium
6,Female,127.4,19.8,12.21,High,Low
16,Female,146.8,49.4,22.93,Medium,Medium
9,Female,104.3,15.0,13.8,High,Low
5,Female,124.2,15.0,9.73,Low,Low
16,Male,170.4,71.2,24.51,High,High
14,Female,181.3,73.9,22.48,Medium,High
10,Female,169.2,77.2,26.98,Medium,High
17,Male,178.2,76.3,24.03,Medium,High
16,Female,172.3,73.3,24.7,Medium,High
13,Male,166.6,66.6,23.99,High,High
5,Female,109.7,18.7,15.53,Low,Low
15,Male,163.5,79.9,29.89,Medium,High
15,Male,177.9,68.8,21.75,Low,Medium
14,Female,174.0,66.4,21.92,High,High
16,Female,152.1,54.7,23.64,Low,Low
16,Female,171.1,64.6,22.06,Medium,High
7,Male,130.3,37.8,22.24,Low,Low
16,Male,168.5,77.3,27.21,Medium,High
11,Male,144.7,40.3,19.26,High,High
8,Female,131.7,25.5,14.74,High,Low
13,Male,172.0,69.8,23.59,High,High
7,Male,118.6,19.4,13.81,Medium,Low
9,Female,129.6,32.1,19.11,High,Medium
7,Male,123.1,15.0,9.9,Medium,Low
11,Male,130.1,22.4,13.22,High,Medium
9,Female,119.4,16.2,11.33,Medium,Low
13,Male,149.4,43.0,19.27,Medium,Medium
11,Female,154.8,31.9,13.31,Low,Low
6,Female,128.6,15.0,9.08,Medium,Low
8,Female,121.4,15.0,10.17,Low,Low
13,Female,179.2,78.3,24.38,High,High
16,Female,165.7,62.2,22.66,Medium,Medium
6,Male,110.7,15.0,12.24,High,Low
14,Male,160.6,67.0,25.97,Low,Medium
13,Female,181.3,87.7,26.67,Low,Medium
14,Female,158.3,59.5,23.74,High,High
9,Male,127.8,28.7,17.59,Medium,Low
6,Female,132.4,25.6,14.59,Medium,Low
8,Female,130.9,25.0,14.59,High,Low
16,Female,189.5,75.8,21.12,Medium,High
16,Male,153.2,51.2,21.82,Low,Medium
11,Male,134.2,40.5,22.49,High,Medium
16,Female,153.4,64.2,27.3,Low,Medium
17,Female,162.0,60.1,22.88,High,High
12,Male,156.0,59.9,24.63,Low,Medium
7,Male,114.7,15.0,11.41,Medium,Low
5,Female,136.1,32.7,17.63,Low,Low
8,Female,125.4,21.7,13.81,High,Low
6,Male,113.9,25.8,19.91,Low,Low
12,Male,127.5,30.6,18.85,High,Medium
8,Male,109.7,15.0,12.46,Medium,Low
6,Female,118.3,21.9,15.62,Low,Low
10,Male,143.3,43.7,21.26,High,High
10,Female,158.5,70.7,28.16,Medium,High
14,Male,173.0,54.5,18.23,Low,Medium
8,Male,116.6,17.8,13.08,Low,Low
10,Male,149.1,58.1,26.15,Medium,High
17,Male,181.5,66.4,20.15,Low,Medium
6,Female,143.7,50.4,24.41,Low,Low
14,Female,161.9,55.8,21.29,Low,Medium
16,Male,174.6,75.5,24.76,Medium,High
6,Female,138.9,32.7,16.93,Medium,Low
14,Male,149.9,57.6,25.63,Low,Medium
8,Male,119.9,17.6,12.23,High,Medium
12,Male,167.2,74.0,26.46,High,High
11,Male,142.0,45.5,22.55,Low,Low
16,Female,135.7,29.4,15.94,Low,Low
13,Male,163.8,67.8,25.27,High,High
12,Male,156.2,50.9,20.87,Medium,Medium
9,Female,125.1,25.6,16.35,Medium,Low
17,Male,172.2,69.7,23.52,Medium,High
6,Male,134.4,41.6,23.03,High,High
9,Male,121.5,25.8,17.47,Low,Low
12,Female,139.8,39.6,20.24,High,Medium
14,Male,166.5,61.0,22.01,High,High
13,Female,166.8,56.6,20.36,Medium,Medium
16,Male,165.5,66.6,24.31,High,High
16,Male,166.0,60.9,22.11,Low,Medium
16,Female,157.5,42.5,17.13,Medium,Medium
17,Male,172.5,61.9,20.79,Medium,High
13,Male,171.0,84.0,28.73,Medium,High
17,Female,151.6,46.4,20.16,Low,Low
17,Female,161.1,69.8,26.88,Medium,Medium
5,Female,125.9,23.1,14.55,Low,Low
13,Female,159.7,69.6,27.29,Low,Medium
11,Female,151.4,60.7,26.5,Low,Medium
13,Male,164.3,57.7,21.38,High,High
12,Female,146.7,30.8,14.31,Low,Low
5,Male,121.0,15.0,10.25,Medium,Low
16,Male,145.1,38.6,18.34,Low,Low
12,Male,124.5,39.6,25.56,Low,Low
12,Female,150.9,47.6,20.91,Medium,Medium
15,Female,167.7,68.8,24.48,Low,Medium
7,Male,129.4,39.8,23.78,Medium,Medium
5,Female,126.3,27.2,17.06,Medium,Low
12,Female,147.1,47.8,22.05,High,Medium
7,Female,134.7,39.7,21.87,High,Medium
7,Female,129.4,31.8,18.95,Medium,Low
5,Male,135.4,34.6,18.88,High,Medium
15,Male,166.7,60.9,21.93,Low,Medium
9,Female,122.0,22.6,15.2,Medium,Low
14,Male,166.9,75.7,27.16,High,High
11,Female,136.6,50.9,27.26,Low,Low
14,Female,161.2,63.5,24.45,Low,Medium
13,Male,166.8,72.8,26.18,Low,Medium
16,Male,166.6,68.8,24.78,Medium,High
11,Male,143.9,43.2,20.87,Medium,Medium
13,Female,151.1,55.2,24.19,Medium,Medium
12,Male,151.4,60.9,26.57,Medium,High
16,Female,173.3,66.3,22.05,Medium,High
6,Male,141.4,29.8,14.91,High,Medium
5,Male,129.4,25.2,15.02,Low,Low
11,Female,145.0,46.7,22.21,High,Medium
11,Female,134.9,41.8,23.0,Medium,Low
12,Female,159.9,52.0,20.33,High,High
9,Female,127.5,15.0,9.23,High,Low
7,Female,126.9,22.9,14.19,Medium,Low
16,Female,162.5,60.9,23.08,Low,Medium
12,Female,141.8,32.5,16.17,Medium,Low
10,Female,151.9,45.8,19.87,High,Medium
15,Male,154.8,61.7,25.76,Medium,High
7,Female,141.3,41.9,20.99,Low,Low
5,Female,139.1,41.8,21.63,Low,Low
7,Male,121.5,18.6,12.62,High,Medium
9,Female,116.4,15.0,11.08,Low,Low
7,Male,104.8,15.0,13.64,Low,Low
5,Male,112.5,16.5,13.02,Medium,Low
9,Female,132.3,20.4,11.64,High,Low
14,Male,168.2,81.4,28.77,Medium,High
11,Female,149.9,54.5,24.26,Medium,Medium
11,Male,126.5,22.3,13.9,Medium,Low
15,Male,161.0,67.5,26.05,Low,Medium
13,Male,178.7,88.5,27.71,High,High
14,Female,164.0,61.4,22.82,Medium,Medium
14,Female,152.3,50.5,21.8,Medium,Medium
16,Male,163.9,75.8,28.23,High,High
17,Male,157.3,74.2,30.01,High,High
7,Female,128.3,28.6,17.35,Medium,Low
11,Female,145.2,35.9,17.05,Low,Low
5,Male,130.4,26.7,15.68,High,Medium
8,Male,112.8,21.1,16.57,Medium,Low
17,Female,160.5,52.3,20.29,High,High
8,Female,135.9,34.2,18.54,High,Medium
9,Female,111.5,15.0,12.07,Low,Low
11,Female,135.0,27.6,15.14,High,Medium
11,Female,147.0,55.8,25.81,Medium,Medium
