Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Daily_Calories,Calorie_Level
11,Male,160.8,62.9,24.35,Medium,2376.0,High
8,Male,114.0,15.0,11.54,Low,993.0,Low
17,Female,153.5,65.5,27.81,Low,1642.0,Medium
15,Male,148.9,48.6,21.9,High,2423.0,High
12,Female,140.1,33.8,17.23,High,1788.0,Medium
17,Female,158.1,59.4,23.75,Low,1603.0,Medium
9,Female,112.4,15.0,11.88,Medium,970.0,Low
11,Female,164.9,64.2,23.62,High,2622.0,High
14,Female,170.3,72.9,25.12,Medium,2343.0,High
7,Male,129.1,30.7,18.41,Medium,1626.0,Medium
11,Female,160.9,71.3,27.55,High,2705.0,High
15,Male,167.6,88.3,31.46,High,3349.0,High
15,Male,157.5,62.9,25.35,High,2778.0,High
12,Female,128.0,37.4,22.85,Medium,1430.0,Low
9,Female,116.9,37.3,27.27,Low,1077.0,Low
8,Male,140.1,32.0,16.32,High,2089.0,Medium
12,Male,132.4,33.5,19.09,Low,1329.0,Low
12,Male,148.5,44.7,20.26,High,2377.0,High
7,Female,135.3,42.1,22.97,Low,1285.0,Low
10,Male,147.9,50.0,22.88,Medium,2069.0,Medium
9,Female,129.0,22.4,13.49,Medium,1237.0,Low
6,Female,131.6,31.6,18.28,Low,1137.0,Low
12,Female,148.8,57.2,25.82,High,2305.0,High
16,Male,181.1,70.7,21.55,Low,2116.0,Medium
10,Female,134.6,28.2,15.58,High,1642.0,Medium
6,Female,127.4,19.8,12.21,High,1446.0,Low
16,Female,146.8,49.4,22.93,Medium,1756.0,Medium
9,Female,104.3,15.0,13.8,High,1072.0,Low
5,Female,124.2,15.0,9.73,Low,888.0,Low
16,Male,170.4,71.2,24.51,High,3064.0,High
14,Female,181.3,73.9,22.48,Medium,2462.0,High
10,Female,169.2,77.2,26.98,Medium,2428.0,High
17,Male,178.2,76.3,24.03,Medium,2695.0,High
16,Female,172.3,73.3,24.7,Medium,2353.0,High
13,Male,166.6,66.6,23.99,High,2965.0,High
5,Female,109.7,18.7,15.53,Low,824.0,Low
15,Male,163.5,79.9,29.89,Medium,2627.0,High
15,Male,177.9,68.8,21.75,Low,2076.0,Medium
14,Female,174.0,66.4,21.92,High,2736.0,High
16,Female,152.1,54.7,23.64,Low,1508.0,Low
16,Female,171.1,64.6,22.06,Medium,2212.0,High
7,Male,130.3,37.8,22.24,Low,1394.0,Low
16,Male,168.5,77.3,27.21,Medium,2626.0,High
11,Male,144.7,40.3,19.26,High,2264.0,High
8,Female,131.7,25.5,14.74,High,1579.0,Low
13,Male,172.0,69.8,23.59,High,3083.0,High
7,Male,118.6,19.4,13.81,Medium,1358.0,Low
9,Female,129.6,32.1,19.11,High,1664.0,Medium
7,Male,123.1,15.0,9.9,Medium,1334.0,Low
11,Male,130.1,22.4,13.22,High,1777.0,Medium
9,Female,119.4,16.2,11.33,Medium,1052.0,Low
13,Male,149.4,43.0,19.27,Medium,1955.0,Medium
11,Female,154.8,31.9,13.31,Low,1284.0,Low
6,Female,128.6,15.0,9.08,Medium,1144.0,Low
8,Female,121.4,15.0,10.17,Low,850.0,Low
13,Female,179.2,78.3,24.38,High,3018.0,High
16,Female,165.7,62.2,22.66,Medium,2125.0,Medium
6,Male,110.7,15.0,12.24,High,1470.0,Low
14,Male,160.6,67.0,25.97,Low,1930.0,Medium
13,Female,181.3,87.7,26.67,Low,2141.0,Medium
14,Female,158.3,59.5,23.74,High,2436.0,High
9,Male,127.8,28.7,17.59,Medium,1568.0,Low
6,Female,132.4,25.6,14.59,Medium,1339.0,Low
8,Female,130.9,25.0,14.59,High,1561.0,Low
16,Female,189.5,75.8,21.12,Medium,2553.0,High
16,Male,153.2,51.2,21.82,Low,1674.0,Medium
11,Male,134.2,40.5,22.49,High,2150.0,Medium
16,Female,153.4,64.2,27.3,Low,1632.0,Medium
17,Female,162.0,60.1,22.88,High,2462.0,High
12,Male,156.0,59.9,24.63,Low,1823.0,Medium
7,Male,114.7,15.0,11.41,Medium,1255.0,Low
5,Female,136.1,32.7,17.63,Low,1190.0,Low
8,Female,125.4,21.7,13.81,High,1439.0,Low
6,Male,113.9,25.8,19.91,Low,1134.0,Low
12,Male,127.5,30.6,18.85,High,1887.0,Medium
8,Male,109.7,15.0,12.46,Medium,1201.0,Low
6,Female,118.3,21.9,15.62,Low,921.0,Low
10,Male,143.3,43.7,21.26,High,2317.0,High
10,Female,158.5,70.7,28.16,Medium,2230.0,High
14,Male,173.0,54.5,18.23,Low,1874.0,Medium
8,Male,116.6,17.8,13.08,Low,1046.0,Low
10,Male,149.1,58.1,26.15,Medium,2202.0,High
17,Male,181.5,66.4,20.15,Low,2062.0,Medium
6,Female,143.7,50.4,24.41,Low,1454.0,Low
14,Female,161.9,55.8,21.29,Low,1606.0,Medium
16,Male,174.6,75.5,24.76,Medium,2656.0,High
6,Female,138.9,32.7,16.93,Medium,1506.0,Low
14,Male,149.9,57.6,25.63,Low,1738.0,Medium
8,Male,119.9,17.6,12.23,High,1602.0,Medium
12,Male,167.2,74.0,26.46,High,3113.0,High
11,Male,142.0,45.5,22.55,Low,1551.0,Low
16,Female,135.7,29.4,15.94,Low,1081.0,Low
13,Male,163.8,67.8,25.27,High,2955.0,High
12,Male,156.2,50.9,20.87,Medium,2146.0,Medium
9,Female,125.1,25.6,16.35,Medium,1247.0,Low
17,Male,172.2,69.7,23.52,Medium,2539.0,High
6,Male,134.4,41.6,23.03,High,2215.0,High
9,Male,121.5,25.8,17.47,Low,1172.0,Low
12,Female,139.8,39.6,20.24,High,1887.0,Medium
14,Male,166.5,61.0,22.01,High,2855.0,High
13,Female,166.8,56.6,20.36,Medium,2074.0,Medium
16,Male,165.5,66.6,24.31,High,2927.0,High
16,Male,166.0,60.9,22.11,Low,1885.0,Medium
16,Female,157.5,42.5,17.13,Medium,1753.0,Medium
17,Male,172.5,61.9,20.79,Medium,2425.0,High
13,Male,171.0,84.0,28.73,Medium,2773.0,High
17,Female,151.6,46.4,20.16,Low,1398.0,Low
17,Female,161.1,69.8,26.88,Medium,2188.0,Medium
5,Female,125.9,23.1,14.55,Low,998.0,Low
13,Female,159.7,69.6,27.29,Low,1761.0,Medium
11,Female,151.4,60.7,26.5,Low,1605.0,Medium
13,Male,164.3,57.7,21.38,High,2780.0,High
12,Female,146.7,30.8,14.31,Low,1204.0,Low
5,Male,121.0,15.0,10.25,Medium,1329.0,Low
16,Male,145.1,38.6,18.34,Low,1461.0,Low
12,Male,124.5,39.6,25.56,Low,1343.0,Low
12,Female,150.9,47.6,20.91,Medium,1797.0,Medium
15,Female,167.7,68.8,24.48,Low,1800.0,Medium
7,Male,129.4,39.8,23.78,Medium,1765.0,Medium
5,Female,126.3,27.2,17.06,Medium,1314.0,Low
12,Female,147.1,47.8,22.05,High,2117.0,Medium
7,Female,134.7,39.7,21.87,High,1877.0,Medium
7,Female,129.4,31.8,18.95,Medium,1396.0,Low
5,Male,135.4,34.6,18.88,High,2110.0,Medium
15,Male,166.7,60.9,21.93,Low,1898.0,Medium
9,Female,122.0,22.6,15.2,Medium,1174.0,Low
14,Male,166.9,75.7,27.16,High,3124.0,High
11,Female,136.6,50.9,27.26,Low,1376.0,Low
14,Female,161.2,63.5,24.45,Low,1694.0,Medium
13,Male,166.8,72.8,26.18,Low,2053.0,Medium
16,Male,166.6,68.8,24.78,Medium,2482.0,High
11,Male,143.9,43.2,20.87,Medium,1923.0,Medium
13,Female,151.1,55.2,24.19,Medium,1906.0,Medium
12,Male,151.4,60.9,26.57,Medium,2250.0,High
16,Female,173.3,66.3,22.05,Medium,2257.0,High
6,Male,141.4,29.8,14.91,High,2083.0,Medium
5,Male,129.4,25.2,15.02,Low,1248.0,Low
11,Female,145.0,46.7,22.21,High,2083.0,Medium
11,Female,134.9,41.8,23.0,Medium,1568.0,Low
12,Female,159.9,52.0,20.33,High,2337.0,High
9,Female,127.5,15.0,9.23,High,1333.0,Low
7,Female,126.9,22.9,14.19,Medium,1239.0,Low
16,Female,162.5,60.9,23.08,Low,1660.0,Medium
12,Female,141.8,32.5,16.17,Medium,1486.0,Low
10,Female,151.9,45.8,19.87,High,2154.0,Medium
15,Male,154.8,61.7,25.76,Medium,2272.0,High
7,Female,141.3,41.9,20.99,Low,1327.0,Low
5,Female,139.1,41.8,21.63,Low,1322.0,Low
7,Male,121.5,18.6,12.62,High,1647.0,Medium
9,Female,116.4,15.0,11.08,Low,806.0,Low
7,Male,104.8,15.0,13.64,Low,930.0,Low
5,Male,112.5,16.5,13.02,Medium,1272.0,Low
9,Female,132.3,20.4,11.64,High,1484.0,Low
14,Male,168.2,81.4,28.77,Medium,2699.0,High
11,Female,149.9,54.5,24.26,Medium,1900.0,Medium
11,Male,126.5,22.3,13.9,Medium,1445.0,Low
15,Male,161.0,67.5,26.05,Low,1934.0,Medium
13,Male,178.7,88.5,27.71,High,3494.0,High
14,Female,164.0,61.4,22.82,Medium,2112.0,Medium
14,Female,152.3,50.5,21.8,Medium,1839.0,Medium
16,Male,163.9,75.8,28.23,High,3074.0,High
17,Male,157.3,74.2,30.01,High,2962.0,High
7,Female,128.3,28.6,17.35,Medium,1338.0,Low
11,Female,145.2,35.9,17.05,Low,1261.0,Low
5,Male,130.4,26.7,15.68,High,1911.0,Medium
8,Male,112.8,21.1,16.57,Medium,1321.0,Low
17,Female,160.5,52.3,20.29,High,2304.0,High
8,Female,135.9,34.2,18.54,High,1783.0,Medium
9,Female,111.5,15.0,12.07,Low,769.0,Low
11,Female,135.0,27.6,15.14,High,1626.0,Medium
11,Female,147.0,55.8,25.81,Medium,1891.0,Medium
17,Male,167.9,73.4,26.05,Medium,2555.0,High
15,Female,160.1,76.2,29.72,Low,1832.0,Medium
17,Male,162.2,68.5,26.02,High,2913.0,High
8,Female,130.3,22.6,13.33,Medium,1260.0,Low
17,Male,173.5,77.7,25.83,Medium,2673.0,High
11,Female,134.3,42.2,23.4,High,1882.0,Medium
15,Female,168.6,77.0,27.06,Medium,2381.0,High
7,Male,140.1,33.9,17.27,Medium,1777.0,Medium
10,Male,143.8,36.7,17.72,High,2197.0,Medium
16,Female,154.2,45.1,18.96,High,2112.0,Medium
6,Female,113.7,26.6,20.54,High,1414.0,Low
14,Female,163.4,68.4,25.61,High,2653.0,High
17,Female,175.4,68.8,22.37,Medium,2307.0,High
13,Female,164.6,65.6,24.22,Medium,2188.0,Medium
9,Male,126.9,25.9,16.09,Low,1215.0,Low
10,Male,135.0,27.3,14.95,Medium,1607.0,Medium
16,Female,174.8,75.1,24.58,Medium,2404.0,High
16,Male,153.5,55.1,23.36,High,2584.0,High
16,Male,160.0,75.4,29.47,Low,2015.0,Medium
16,Male,171.3,66.1,22.51,Low,1987.0,Medium
8,Female,104.6,15.0,13.71,Low,723.0,Low
15,Male,166.7,58.3,20.99,Low,1867.0,Medium
14,Female,154.6,47.5,19.86,Medium,1815.0,Medium
11,Male,145.2,41.8,19.81,Low,1530.0,Low
16,Female,161.5,53.1,20.37,Low,1559.0,Low
13,Male,186.1,92.6,26.76,Low,2435.0,High
11,Female,141.1,32.1,16.15,High,1777.0,Medium
5,Female,143.4,43.6,21.19,High,2063.0,Medium
5,Male,130.9,46.9,27.37,Low,1520.0,Low
13,Female,157.0,61.4,24.92,High,2465.0,High
15,Female,168.3,71.9,25.39,Medium,2303.0,High
13,Female,162.0,76.8,29.29,Low,1865.0,Medium
8,Female,127.4,37.4,23.03,Medium,1454.0,Low
17,Female,157.9,62.4,25.03,Low,1637.0,Medium
13,Female,181.9,79.4,24.0,High,3069.0,High
7,Female,134.3,34.1,18.9,Low,1181.0,Low
11,Female,145.3,44.7,21.19,High,2051.0,Medium
10,Male,162.3,59.1,22.43,Low,1872.0,Medium
12,Male,145.7,47.4,22.33,Medium,1995.0,Medium
